IID	sf
dedup/BAM_01.dedup.bam	2
dedup/BAM_02.dedup.bam	2
dedup/BAM_03.dedup.bam	2
dedup/BAM_04.dedup.bam	2
dedup/BAM_05.dedup.bam	2
dedup/BAM_06.dedup.bam	2
dedup/BAM_07.dedup.bam	2
dedup/BAM_08.dedup.bam	2
dedup/BAM_09.dedup.bam	2
dedup/BAM_10.dedup.bam	2
dedup/BAM_11.dedup.bam	1
dedup/BAM_12.dedup.bam	2
dedup/BAM_13.dedup.bam	2
dedup/BAM_14.dedup.bam	2
dedup/BAM_15.dedup.bam	2
dedup/BAM_16.dedup.bam	1
dedup/BAM_18.dedup.bam	2
dedup/BAM_19.dedup.bam	1
dedup/BAM_20.dedup.bam	1
dedup/BAM_21.dedup.bam	2
dedup/BAM_22.dedup.bam	2
dedup/BAM_23.dedup.bam	1
dedup/BAM_24.dedup.bam	2
dedup/BAM_25.dedup.bam	1
dedup/BAM_26.dedup.bam	1
dedup/BAM_27.dedup.bam	2
dedup/BAM_28.dedup.bam	1
dedup/BAM_29.dedup.bam	2
dedup/BAM_30.dedup.bam	2
dedup/BAM_31.dedup.bam	2
dedup/BAM_32.dedup.bam	2
dedup/BAM_33.dedup.bam	2
dedup/BAM_34.dedup.bam	1
dedup/BAM_35.dedup.bam	1
dedup/BAM_36.dedup.bam	2
dedup/BAM_37.dedup.bam	2
dedup/BAM_38.dedup.bam	1
dedup/BAM_39.dedup.bam	2
dedup/BAM_40.dedup.bam	1
dedup/BAM_41.dedup.bam	2
dedup/BAM_42.dedup.bam	1
dedup/BAM_43.dedup.bam	2
dedup/BAM_44.dedup.bam	2
dedup/BAM_45.dedup.bam	2
dedup/BAM_46.dedup.bam	2
dedup/BAM_47.dedup.bam	1
dedup/BAM_48.dedup.bam	2
dedup/BAM_49.dedup.bam	2
dedup/BAM_50.dedup.bam	1
dedup/BAM_51.dedup.bam	2
dedup/BAM_52.dedup.bam	1
dedup/BAM_53.dedup.bam	2
dedup/BAM_54.dedup.bam	2
dedup/BAM_55.dedup.bam	2
dedup/BAM_56.dedup.bam	2
dedup/BAM_57.dedup.bam	2
dedup/BAM_58.dedup.bam	1
